Population,Number,Uncertainty interval,Crude Rate**,ASR (World)*,Cum. risk**
"Kyrgyzstan","267","[200.2-356.1]","8.8","13.0","-",
"Albania","265","[218.1-322.0]","17.9","10.0","-",
"Armenia","263","[206.2-335.5]","19.1","13.5","-",
"Puerto Rico","251","[219.6-286.9]","14.3","8.9","-",
"South Sudan","249","[109.4-566.7]","3.8","6.5","-",
"Norway","248","[191.3-321.4]","9.2","5.3","-",
"Sierra Leone","248","[222.7-276.2]","6.5","12.6","-",
"Costa Rica","248","[142.8-430.6]","10.0","7.9","-",
"Liberia","247","[100.1-609.3]","10.1","18.9","-",
"The Republic of the Gambia","245","[205.5-292.1]","22.9","36.5","-",
"Morocco","243","[147.9-399.3]","1.4","1.4","-",
"Georgia","235","[198.7-278.0]","12.6","8.3","-",
"Benin","233","[129.9-417.8]","4.1","9.8","-",
"Mauritania","221","[89.6-545.1]","9.7","16.8","-",
"Slovenia","216","[166.6-280.1]","20.9","9.7","-",
"El Salvador","208","[156.0-277.3]","6.9","6.4","-",
"Togo","207","[182.0-235.4]","5.2","9.7","-",
"Syrian Arab Republic","200","[93.4-428.1]","2.2","3.4","-",
"Israel","200","[159.9-250.2]","4.8","3.5","-",
"Azerbaijan","192","[161.9-227.8]","3.9","4.1","-",
"Turkmenistan","175","[141.4-216.5]","6.1","8.4","-",
"Nepal","175","[110.2-277.8]","1.2","1.5","-",
"Malawi","167","[78.6-354.9]","1.8","2.4","-",
"Tunisia","163","[105.7-251.5]","2.8","2.5","-",
"Tajikistan","163","[124.4-213.6]","3.6","6.0","-",
"Lithuania","160","[121.7-210.3]","12.1","6.5","-",
"Congo, Republic of","146","[105.1-202.7]","5.4","8.6","-",
"Lebanon","133","[102.4-172.8]","4.4","3.6","-",
"Somalia","132","[58.0-300.4]","1.7","3.6","-",
"The former Yugoslav Republic of Macedonia","121","[71.5-204.9]","11.6","7.1","-",
"Panama","115","[82.3-160.7]","5.5","4.9","-",
"Paraguay","115","[73.9-179.0]","3.3","3.7","-",
"Uruguay","114","[78.7-165.1]","6.8","4.4","-",
"Zambia","108","[54.7-213.1]","1.2","2.8","-",
"Central African Republic","104","[61.3-176.5]","4.5","7.5","-",
"Jordan","101","[74.4-137.2]","2.0","3.4","-",
"Libya","98","[55.9-171.9]","3.0","4.4","-",
"Oman","90","[56.8-142.7]","2.8","5.8","-",
"Kuwait","88","[65.4-118.3]","3.7","6.2","-",
"Guinea-Bissau","84","[34.1-207.2]","8.9","17.3","-",
"Latvia","63","[43.0-92.3]","7.1","3.8","-",
"United Arab Emirates","62","[46.2-83.2]","0.90","4.3","-",
"Estonia","61","[45.4-82.0]","10.0","5.1","-",
"France, La Réunion","58","[41.8-80.4]","13.6","9.1","-",
"Jamaica","55","[37.8-80.1]","3.8","3.0","-",
"Fiji","53","[44.2-63.5]","11.5","12.3","-",
"Cyprus","51","[35.1-74.1]","8.6","5.0","-",
"Eritrea","50","[22.0-113.8]","1.9","3.7","-",
"Luxembourg","48","[30.8-74.8]","16.2","9.1","-",
"Lesotho","41","[20.3-82.7]","3.7","6.6","-",
"Botswana","40","[26.3-60.9]","3.5","6.4","-",
"Qatar","37","[26.5-51.7]","1.8","5.7","-",
"Trinidad and Tobago","36","[21.7-59.7]","5.3","3.9","-",
"Mauritius","36","[24.3-53.3]","5.7","4.0","-",
"Gabon","35","[21.5-56.9]","3.3","3.9","-",
"Equatorial Guinea","34","[20.0-57.7]","4.7","6.0","-",
"Montenegro","33","[19.8-55.0]","10.6","5.7","-",
"Solomon Islands","32","[26.1-39.3]","10.1","15.5","-",
"Brunei","32","[17.7-57.9]","14.3","17.0","-",
