gene
ACSM2A
ACSM5
AIMP2
ARHGAP5
ASXL2
ATRX
BMPR1A
BRD3
BTG1
CCDC127
CCDC6
CCZ1
CFHR1
CFHR2
CFHR3
CFHR4
CP
CYP2A6
CYP2A7
CYP2B6
CYP2C8
CYP3A7
CYP3A7-CYP3A51P
DDX3X
DICER1
DNAJB3
FABP5P3
FBXO11
GNAQ
HMGA1
HP
HPR
HPS3
IL6ST
KCNMB3
KMT2C
KRAS
LINC00094
LOC100286922
LPA
MAP2K4
MAP3K13
MDM2
MUC16
MYCL
NCOA4
NCOR1
NF1
NF2
NOTCH2
OIT3
ORM1
ORM2
PIK3CA
PLG
PLGLB2
PMS2
PPP6C
PRAMEF10
PRAMEF18
PRAMEF2
PRAMEF4
PRAMEF6
PRAMEF7
PTEN
RAD21
RAF1
RANBP2
RGPD2
RSPH10B
SBDS
SDHA
SIRPA
STAG1
STAT5B
TBL1XR1
TERT
TIMM23B
TPM3
TYW1
UGT1A10
UGT1A3
UGT1A4
UGT1A5
UGT1A6
UGT1A7
UGT1A8
UGT1A9
UGT2B10
USP8
WRN
